source,destination,route_type,median_delay_ratio,volume,osrm_distance,is_chronic
Mumbai_MhimWest_C (Maharashtra),Mumbai Hub (Maharashtra),Carting,5.0,2,9.131966343299096,True
Mohania_Bhabua_D (Bihar),Dinara_Wardno7_D (Bihar),FTL,4.954861111111111,6,42.802727654157465,True
Allahabad_Central_H_1 (Uttar Pradesh),Allahabad_Phaphamu_DC (Uttar Pradesh),Carting,4.866666666666666,7,18.513143210807883,True
Darjeeling_Hillcard_DC (West Bengal),Kurseong_ABPath_D (West Bengal),FTL,4.842105263157895,3,16.09675643960933,True
Pune_East_D_8 (Maharashtra),PNQ Vadgaon Sheri DPC (Maharashtra),Carting,4.8125,4,10.170162003472841,True
Jaipur_Bhankrot_DC (Rajasthan),Jaipur_Central_I_7 (Rajasthan),Carting,4.809523809523809,1,9.068245338888143,True
GGN_DPC (Haryana),Gurgaon_Manesar (Haryana),Carting,4.808497536945813,2,19.31919259659172,True
Hoshangabad_MnRDDPP_D (Madhya Pradesh),Itarsi_DivrsnRd_D (Madhya Pradesh),FTL,4.785714285714286,1,19.52675873164348,True
CCU_Hub (West Bengal),Kolkata_Dankuni_HB (West Bengal),Carting,4.714285714285714,2,13.677017709876019,True
Mainpuri_Agraroad_I (Uttar Pradesh),Firozabad_Sudmpuri_D (Uttar Pradesh),FTL,4.689655172413793,1,58.19049605600304,True
NOI_RPC (Delhi),Delhi_Airport_H (Delhi),Carting,4.675675675675675,3,21.005446516473324,True
Barasat_KrshnNgr_D (West Bengal),CCU_DumDum_DPC (West Bengal),Carting,4.62987012987013,2,10.407277090567735,True
Visakhapatnam_Gajuwaka_IP (Andhra Pradesh),Koraput_GhtimDPP_D (Orissa),Carting,4.567011154855643,10,94.94754441046891,True
Bhuj_DC (Gujarat),Gandhidham_Sector1A_IP (Gujarat),FTL,4.564102564102564,1,44.354683529166266,True
Chennai_Egmore_DPC (Tamil Nadu),Chennai_Royapuram (Tamil Nadu),Carting,4.55,2,9.032298661601477,True
Chhaygaon_GwhRDDPP_D (Assam),Guwahati_Hub (Assam),Carting,4.5,9,26.818534825232337,True
Ragunthgnj_GopalDPP_D (West Bengal),Jangipur_Central_D_1 (West Bengal),Carting,4.477777777777778,28,9.475809400844588,True
Pune_Chinchwad DC (Maharashtra),Pune_East_D_7 (Maharashtra),Carting,4.454545454545454,1,9.79636307855414,True
GZB_Mohan_Nagar_DPC (Uttar Pradesh),Ghaziabad_MohanNgr_C (Uttar Pradesh),Carting,4.428571428571429,1,9.200161733432884,True
Surat_Central_D_3 (Gujarat),Surat_Central_I_4 (Gujarat),Carting,4.42483660130719,2,12.376659830218351,True
Palani_RjndraRd_D (Tamil Nadu),Dindigul_Central_D_1 (Tamil Nadu),FTL,4.4222222222222225,4,47.48986930531501,True
Vizag _NAD (Andhra Pradesh),Vishakhapatnam (Andhra Pradesh),Carting,4.375,1,9.22868637613085,True
Hooghly_DC (West Bengal),Kolkata_North_I_4 (West Bengal),Carting,4.370629370629371,2,12.325620780279682,True
Mumbai_Nerul_D (Maharashtra),Mumbai_Sanpada_I (Maharashtra),Carting,4.333333333333333,1,9.449408492020316,True
Kanpur_Central_H_6 (Uttar Pradesh),Kanpur_Rawatpur_D (Uttar Pradesh),Carting,4.3125,17,12.166946454855012,True
Akhnoor_ThthiCwk_D (Jammu & Kashmir),Jammu_Central_I_1 (Jammu & Kashmir),Carting,4.304347826086956,9,18.414294764711126,True
HazratJandaha_HajiprRD_D (Bihar),Muzaffrpur_Bbganj_I (Bihar),FTL,4.294117647058823,1,46.84623349790659,True
Allahabad_Central_H_1 (Uttar Pradesh),Allahabad_Central_D_5 (Uttar Pradesh),Carting,4.285714285714286,19,9.64996224551968,True
Ghosi_Jamalpur_D (Uttar Pradesh),Dohrighat_AzmrdDPP_D (Uttar Pradesh),FTL,4.26923076923077,4,18.70742022435309,True
Anand_Vaghasi_IP (Gujarat),Anand_VUNagar_DC (Gujarat),Carting,4.25,1,9.383421597437652,True
Mumbai_East_I_21 (Maharashtra),Mumbai_Kalyan (Maharashtra),Carting,4.235294117647059,1,9.327050507753954,True
Badarpur_Konapara_D (Assam),Karimganj_Alngjuri_D (Assam),FTL,4.230769230769231,1,16.595731693016912,True
Dhule_MIDCAvdn_I (Maharashtra),Malegaon_Rawlgaon_D (Maharashtra),FTL,4.205882352941177,2,41.96912360167736,True
Asansol_DC (West Bengal),Rupnarayanpur_Salanpur_D (West Bengal),FTL,4.166666666666666,6,18.385315614682327,True
Mumbai_CotnGren_M (Maharashtra),Mumbai Hub (Maharashtra),Carting,4.13921568627451,10,14.961681875586937,True
Mau_BaliaMod_D (Uttar Pradesh),Ghosi_Jamalpur_D (Uttar Pradesh),FTL,4.136363636363637,2,15.669988501574041,True
Aizawl_HunthrVg_I (Mizoram),Champhai_AwmpiVng_D (Mizoram),FTL,4.132575757575758,8,44.40273527557882,True
Dabhoi_Central_DPP_3 (Gujarat),Vadodara_Karelibaug_DPC (Gujarat),Carting,4.107843137254902,2,28.49440147918427,True
PNQ Vadgaon Sheri DPC (Maharashtra),Pune Balaji Nagar (Maharashtra),Carting,4.087179487179487,8,9.614533354258617,True
Kushinagar_KasyaDPP_D (Uttar Pradesh),Padrauna_BawliDPPP_D (Uttar Pradesh),FTL,4.076923076923077,3,17.5876880039231,True
Surat_Central_D_9 (Gujarat),Surat_Central_I_4 (Gujarat),Carting,4.071428571428571,1,9.40614926342181,True
Kolkata_Narynpur_C (West Bengal),Kolkata_Dankuni_P (West Bengal),Carting,4.048809523809524,30,17.258502700106487,True
Silchar_Sirikona_H (Assam),Kabuganj_Jantaclg_D (Assam),FTL,4.027380952380953,4,22.95168243267623,True
Rusera_Wardno4_D (Bihar),Muzaffrpur_Bbganj_I (Bihar),FTL,4.01078431372549,8,66.53701314756498,True
Buldhana_Thsil3PL_D (Maharashtra),Khamgaon_WamanDPP_D (Maharashtra),FTL,4.0,3,44.98672511198728,True
Delhi_Rohini_DPC (Delhi),Delhi_Mangol_DC (Delhi),Carting,4.0,5,9.648241973405144,True
Allahabad_Mirapati_L (Uttar Pradesh),Allahabad_Central_H_1 (Uttar Pradesh),Carting,4.0,1,9.269792028954695,True
Punalur_PostofJN_D (Kerala),Adoor_Town_D (Kerala),Carting,4.0,3,18.0778018403524,True
Mumbai_Tejpal_M (Maharashtra),Bhiwandi_Mankoli_HB (Maharashtra),Carting,4.0,3,19.11520170401466,True
Mumbai_East_I_21 (Maharashtra),Mumbai_Kalyan West _Dc (Maharashtra),Carting,4.0,29,9.707413652120946,True
Barwala_Central_DPP_1 (Haryana),Hisar_ModelTwn_P (Haryana),FTL,3.9833333333333334,6,25.392020042559874,True
Katwa_BSarani_D (West Bengal),Nakashipara_MaxDPP_D (West Bengal),Carting,3.9761904761904763,4,23.19591654690452,True
Kaptanganj_Subshngr_D (Uttar Pradesh),Gorakhpur_Matriprm_IP (Uttar Pradesh),FTL,3.9719061166429586,20,34.015852583675446,True
Sonari_Central_DPP_1 (Assam),Sivasagar_Babupaty_D (Assam),Carting,3.96,55,27.514551480319398,True
Guskhara_Itachnda_D (West Bengal),Nanoor_Central_DPP_1 (West Bengal),FTL,3.9536796536796537,6,24.592022922166507,True
Silchar_Sirikona_H (Assam),Dharmanagr_Ranakant_D (Tripura),FTL,3.945887445887446,4,55.891479291178186,True
Madhepura_Krishnpr_D (Bihar),Saharsa_Gangjala_D (Bihar),FTL,3.9411764705882355,1,18.68963762348519,True
Nohar_Central_DPP_2 (Rajasthan),Hisar_ModelTwn_P (Haryana),FTL,3.9363636363636365,5,66.17538168322795,True
Samsi_RatuaDPP_D (West Bengal),Malda_Central_I_3 (West Bengal),Carting,3.923076923076923,3,36.69964727342269,True
Varanasi_Central_H_4 (Uttar Pradesh),Allahabad_Central_H_1 (Uttar Pradesh),FTL,3.921875,35,88.1257444449286,True
Vapi_IndEstat_I (Gujarat),Daman_DC (Daman & Diu),Carting,3.909090909090909,1,9.376028394774304,True
Champhai_AwmpiVng_D (Mizoram),Aizawl_HunthrVg_I (Mizoram),FTL,3.9,8,56.85028593443356,True
Sidhi_Padra_D (Madhya Pradesh),Allahabad_Central_H_1 (Uttar Pradesh),FTL,3.892857142857143,15,96.91150308841918,True
Muzaffrpur_Bbganj_I (Bihar),Samastipur_Haripur_D (Bihar),FTL,3.891891891891892,3,44.37862062494097,True
Coimbatore_Karayam_H (Tamil Nadu),Coimbatore_Ukkadam_D (Tamil Nadu),Carting,3.888888888888889,11,27.03394509895828,True
Maharajganj_PakriDPP_D (Uttar Pradesh),Nichlaul_Wardno13_D (Uttar Pradesh),Carting,3.8779761904761907,4,24.512945858705777,True
Uthangarai_RgstrOFC_D (Tamil Nadu),Ambur_Central_D_2 (Tamil Nadu),Carting,3.869565217391304,7,36.08560473648773,True
Kaliyaganj_FatprDPP_D (West Bengal),Malda_Central_I_3 (West Bengal),Carting,3.8684210526315788,17,45.02939421226149,True
GGN_DPC (Haryana),Delhi_Airport_H (Delhi),Carting,3.8666666666666667,1,9.840096269966264,True
HDKote_BegurRD_D (Karnataka),Mysore_Yadvgiri_IP (Karnataka),FTL,3.857142857142857,15,44.68079956398431,True
Phulpur_Shekhpur_D (Uttar Pradesh),Allahabad_Central_H_1 (Uttar Pradesh),Carting,3.857142857142857,11,9.159358225673476,True
Darbhanga (Bihar),Jhanjharpur_Nagar_D (Bihar),FTL,3.854022988505747,2,27.565898203059703,True
Chintamani_Central_D_2 (Karnataka),Bengaluru_KGAirprt_HB (Karnataka),Carting,3.849056603773585,3,45.2952284331645,True
Solan_MohanPrk_D (Himachal Pradesh),Kalka_Pinjore_DC (Haryana),FTL,3.8484848484848486,2,19.27697598636071,True
Manjhaul_Purbari_D (Bihar),Muzaffrpur_Bbganj_I (Bihar),FTL,3.8333333333333335,71,69.12706121762248,True
CCU_Beleghta_CP (West Bengal),Kolkata_Dankuni_P (West Bengal),Carting,3.8181818181818183,11,16.421287891363466,True
Durgapur_Central_I_1 (West Bengal),Panagarh_Central_D_1 (West Bengal),FTL,3.8055555555555554,2,18.105271483265966,True
Hyderabad_Alwal_I (Telangana),Medchal_MROoffce_D (Telangana),Carting,3.8,1,9.50101372105903,True
Buldhana_Thsil3PL_D (Maharashtra),Shegaon_SChwkDPP_D (Maharashtra),FTL,3.7870934959349594,2,33.43914063944914,True
Hyderabad_Uppal_I (Telangana),Hyd_LB-Nagar_Dc (Telangana),Carting,3.769230769230769,3,9.511127512348214,True
Chennai_Mylapore (Tamil Nadu),Chennai_Egmore_DPC (Tamil Nadu),Carting,3.75,1,18.08638192317329,True
Banka_Wardno6_D (Bihar),Kahalgaon_NdiaTola_D (Bihar),FTL,3.7419354838709675,3,44.03634485316407,True
Margherita_CivilHPL_D (Assam),Changlang_Central_D_1 (Arunachal Pradesh),Carting,3.7290448343079925,16,15.77181918837515,True
Nowda_AmtlaDPP_D (West Bengal),Berhampore_Central_I_2 (West Bengal),Carting,3.727272727272727,19,16.912293157577153,True
Wardha_RamaNgr_D (Maharashtra),Deoli_Central_DPP_2 (Maharashtra),FTL,3.7142857142857144,5,15.385879877509916,True
Chiraiyakot_KamalDPP_D (Uttar Pradesh),Varanasi_MahmurGj_IP (Uttar Pradesh),FTL,3.7066666666666666,4,57.1119738118863,True
Badarpur_Konapara_D (Assam),Silchar_Sirikona_H (Assam),FTL,3.7058823529411766,7,17.421557805008664,True
Mumbai_Jogshwri_I (Maharashtra),Mumbai_Khar West _Dc (Maharashtra),Carting,3.7,7,9.269842634684032,True
Pune Balaji Nagar (Maharashtra),PNQ Vadgaon Sheri DPC (Maharashtra),Carting,3.6923076923076925,6,9.773165600689241,True
Kakdwip_KlngrDPP_D (West Bengal),CCU_New Alipore_DPC (West Bengal),Carting,3.6875,47,45.48554225239847,True
Chennai_Chrompet_DPC (Tamil Nadu),Chennai_Potheri (Tamil Nadu),Carting,3.670955882352941,4,13.18893984825314,True
Mumbai_Ghansoli_DC (Maharashtra),Mumbai_Sanpada_CP (Maharashtra),Carting,3.6666666666666665,1,14.332864971345886,True
Nowda_AmtlaDPP_D (West Bengal),Baharampur_Chuanpur_I (West Bengal),Carting,3.664335664335664,10,12.631892031994969,True
Beawar_DC (Rajasthan),Bijainagar_Central_DPP_1 (Rajasthan),FTL,3.6550957592339257,4,55.50780560562485,True
Bengaluru_ Kothanur_L (Karnataka),Bengaluru_Bomsndra_HB (Karnataka),Carting,3.6503496503496504,4,22.72235564201529,True
Saharsa_Gangjala_D (Bihar),Madhepura_Krishnpr_D (Bihar),FTL,3.639705882352941,16,18.779078630459765,True
Ranchi_Hub (Jharkhand),Bokaro_KSClny_DC (Jharkhand),Carting,3.627853881278539,112,63.09706631324095,True
Allahabad_Central_D_3 (Uttar Pradesh),Allahabad_Central_H_1 (Uttar Pradesh),Carting,3.619047619047619,6,9.272393476563966,True
Bulndshahr_Ymunpurm_D (Uttar Pradesh),Khurja_Pnjbiyon_D (Uttar Pradesh),FTL,3.6153846153846154,5,16.7645713476996,True
Taranagar_RajRdDPP_D (Rajasthan),Sikar_FatehpRd_I (Rajasthan),FTL,3.6043543543543546,12,88.84385712601399,True
Bhopal_Trnsport_H (Madhya Pradesh),Bhopal_Kolar Mandakni (Madhya Pradesh),Carting,3.6041666666666665,4,13.236458109023445,True
Rudrapur_UdhamNgr_H (Uttarakhand),Kashipur_Vaishali_D (Uttarakhand),FTL,3.6012578616352204,2,47.52312551819023,True
Vadodara (Gujarat),Vadodara_Karelibaug_DPC (Gujarat),Carting,3.6,1,9.069883734644169,True
Chhapra_Prbhunth_D (Bihar),Gopalganj_GopalDPP_D (Bihar),FTL,3.5973084886128364,24,56.57907383704796,True
Gurgaon_Bilaspur_HB (Haryana),Neemrana_Rcocmplx_D (Rajasthan),FTL,3.588235294117647,3,45.35578326678554,True
Akola_Gaurkshn_I (Maharashtra),Buldhana_Thsil3PL_D (Maharashtra),FTL,3.5804597701149428,4,55.38055104563008,True
Muktsar_DPC (Punjab),Chandigarh_Mehmdpur_H (Punjab),FTL,3.5764705882352943,9,110.31175807662672,True
