hub,city,hub_type,avg_dwell_min,trip_volume,betweenness_centrality,pagerank,in_degree,out_degree,clustering_coeff,sla_breach_score,sla_breach_pct
Gurgaon_Bilaspur_HB (Haryana),Gurgaon,unknown,15.965054803352675,23265,0.2307625795874367,0.010619130686015206,45,47,0.03798947983635301,0.22182661718667288,9.04
Kolkata_Dankuni_HB (West Bengal),Kolkata,unknown,22.488081281750684,2559,0.0837126954360512,0.0056079950891049545,20,22,0.04597701149425287,0.11641713986742845,4.74
Bangalore_Nelmngla_H (Karnataka),Bangalore,last_mile_hub,14.038372677046711,9955,0.13815443237921987,0.009348584337067378,36,35,0.05357142857142857,0.10874037490707042,4.43
Hyderabad_Shamshbd_H (Telangana),Hyderabad,unknown,16.34174932371506,3327,0.08983975834615342,0.008953095562473305,30,26,0.04358974358974359,0.07342505402950093,2.99
Bhiwandi_Mankoli_HB (Maharashtra),Bhiwandi,unknown,18.035864978902953,9006,0.04331390669975558,0.006293166557686438,29,29,0.06156156156156156,0.05155180099867026,2.1
Guwahati_Hub (Assam),Guwahati,unknown,30.080697224015495,1549,0.04308071223503607,0.004317187632554391,17,15,0.03162055335968379,0.04639215919849297,1.89
Sonipat_Kundli_H (Haryana),Kundli,unknown,13.528358208955224,1675,0.04632597067663826,0.005934109733481067,20,19,0.03908045977011494,0.046254847834285,1.88
Kanpur_Central_H_6 (Uttar Pradesh),,unknown,14.76554054054054,1480,0.04042124727222366,0.005082915129249405,16,13,0.03463203463203463,0.04527230094596425,1.84
Delhi_Airport_H (Delhi),Delhi,unknown,18.878726629610913,1979,0.04269143094561666,0.004960169569359543,20,22,0.06896551724137931,0.044913733668184554,1.83
Chandigarh_Mehmdpur_H (Punjab),Chandigarh,unknown,16.42565359477124,2448,0.0525323870803529,0.008623216998180007,32,29,0.03433001107419712,0.044533803639855464,1.81
Pune_Tathawde_H (Maharashtra),Pune,transit_hub,16.249751243781095,4020,0.041361511309744386,0.006439178485306243,23,20,0.06157635467980296,0.04027976356509141,1.64
